nama_entitas;flag;tipe_entitas
BSDM;1;Dalam Negeri
ROKEU;1;Dalam Negeri
KBRI BANDAR SERI BEGAWAN;2;Luar Negeri
KBRI BANGKOK;2;Luar Negeri
KBRI BEIJING;2;Luar Negeri
KBRI CANBERRA;2;Luar Negeri
KBRI KOLOMBO;2;Luar Negeri
KBRI DHAKA;2;Luar Negeri
KBRI HANOI;2;Luar Negeri
KBRI ISLAMABAD;2;Luar Negeri
KBRI MANILA;2;Luar Negeri
KBRI NEW DELHI;2;Luar Negeri
KBRI PORT MORESBY;2;Luar Negeri
KBRI PYONGYANG;2;Luar Negeri
KBRI SEOUL;2;Luar Negeri
KBRI SINGAPURA;2;Luar Negeri
KBRI SUVA;2;Luar Negeri
KBRI TOKYO;2;Luar Negeri
KBRI WELLINGTON;2;Luar Negeri
KBRI YANGOON;2;Luar Negeri
KJRI DAVAO CITY;2;Luar Negeri
KJRI HO CHI MINH CITY;2;Luar Negeri
KJRI HONG KONG;2;Luar Negeri
KJRI JOHOR BAHRU;2;Luar Negeri
KJRI KARACHI;2;Luar Negeri
KJRI KOTA KINABALU;2;Luar Negeri
KJRI MELBOURNE;2;Luar Negeri
KJRI MUMBAI;2;Luar Negeri
KJRI NOUMEA;2;Luar Negeri
KJRI OSAKA;2;Luar Negeri
KJRI PENANG;2;Luar Negeri
KJRI SYDNEY;2;Luar Negeri
KRI DARWIN;2;Luar Negeri
KJRI PERTH;2;Luar Negeri
KRI SONGKHLA;2;Luar Negeri
KRI VANIMO;2;Luar Negeri
KBRI BOGOTA;2;Luar Negeri
KBRI BRASILIA;2;Luar Negeri
KBRI BUENOS AIRES;2;Luar Negeri
KBRI CARACAS;2;Luar Negeri
KBRI HAVANA;2;Luar Negeri
KBRI LIMA;2;Luar Negeri
KBRI MEXICO CITY;2;Luar Negeri
KBRI OTTAWA;2;Luar Negeri
KBRI PARAMARIBO;2;Luar Negeri
KBRI SANTIAGO;2;Luar Negeri
KBRI WASHINGTON DC;2;Luar Negeri
KJRI CHICAGO;2;Luar Negeri
KJRI HOUSTON;2;Luar Negeri
KJRI NEW YORK;2;Luar Negeri
KJRI SAN FRANCISCO;2;Luar Negeri
KJRI TORONTO;2;Luar Negeri
KJRI VANCOUVER;2;Luar Negeri
PTRI NEW YORK;2;Luar Negeri
KBRI ABU DHABI;2;Luar Negeri
KBRI ADDIS ABABA;2;Luar Negeri
KBRI ALGER;2;Luar Negeri
KBRI AMMAN;2;Luar Negeri
KBRI ANKARA;2;Luar Negeri
KBRI ANTANANARIVO;2;Luar Negeri
KBRI BAGHDAD;2;Luar Negeri
KBRI BEIRUT;2;Luar Negeri
KBRI DAKAR;2;Luar Negeri
KBRI DAMASKUS;2;Luar Negeri
KBRI DAR-ES-SALAAM;2;Luar Negeri
KBRI DOHA;2;Luar Negeri
